Race,Precinct,PrecinctCode,Name,Party,Votes
Attorney General,104 - Astoria South,104.0,Rayfield Dan,Democratic Party,631.0
Attorney General,104 - Astoria South,104.0,Write-in Totals,,2.0
Attorney General,105 - Svensen,105.0,Lathrop Will,Republican Party,607.0
Attorney General,105 - Svensen,105.0,Rayfield Dan,Democratic Party,367.0
Attorney General,105 - Svensen,105.0,Write-in Totals,,0.0
Attorney General,106 - Knappa,106.0,Lathrop Will,Republican Party,638.0
Attorney General,106 - Knappa,106.0,Rayfield Dan,Democratic Party,431.0
Attorney General,106 - Knappa,106.0,Write-in Totals,,1.0
Attorney General,107 - Westport/Hillcrest,107.0,Lathrop Will,Republican Party,218.0
Attorney General,107 - Westport/Hillcrest,107.0,Rayfield Dan,Democratic Party,107.0
Attorney General,107 - Westport/Hillcrest,107.0,Write-in Totals,,3.0
Attorney General,108 - Jewell,108.0,Lathrop Will,Republican Party,209.0
Attorney General,108 - Jewell,108.0,Rayfield Dan,Democratic Party,137.0
Attorney General,108 - Jewell,108.0,Write-in Totals,,0.0
Attorney General,109 - Olney,109.0,Lathrop Will,Republican Party,297.0
Attorney General,109 - Olney,109.0,Rayfield Dan,Democratic Party,127.0
Attorney General,109 - Olney,109.0,Write-in Totals,,0.0
Attorney General,110 - Stanley Acres,110.0,Lathrop Will,Republican Party,113.0
Attorney General,110 - Stanley Acres,110.0,Rayfield Dan,Democratic Party,81.0
Attorney General,110 - Stanley Acres,110.0,Write-in Totals,,1.0
Attorney General,111 - Lewis and Clark/Chadwell,111.0,Lathrop Will,Republican Party,789.0
Attorney General,111 - Lewis and Clark/Chadwell,111.0,Rayfield Dan,Democratic Party,557.0
Attorney General,111 - Lewis and Clark/Chadwell,111.0,Write-in Totals,,1.0
Attorney General,112 - Warrenton East,112.0,Lathrop Will,Republican Party,414.0
Attorney General,112 - Warrenton East,112.0,Rayfield Dan,Democratic Party,406.0
Attorney General,112 - Warrenton East,112.0,Write-in Totals,,2.0
Attorney General,113 - Warrenton West,113.0,Lathrop Will,Republican Party,1249.0
Attorney General,113 - Warrenton West,113.0,Rayfield Dan,Democratic Party,955.0
Attorney General,113 - Warrenton West,113.0,Write-in Totals,,2.0
Attorney General,114 - Clatsop Plains North,114.0,Lathrop Will,Republican Party,426.0
Attorney General,114 - Clatsop Plains North,114.0,Rayfield Dan,Democratic Party,319.0
Attorney General,114 - Clatsop Plains North,114.0,Write-in Totals,,0.0
Attorney General,115 - Clatsop Plains South,115.0,Lathrop Will,Republican Party,670.0
Attorney General,115 - Clatsop Plains South,115.0,Rayfield Dan,Democratic Party,574.0
Attorney General,115 - Clatsop Plains South,115.0,Write-in Totals,,0.0
Attorney General,116 - Gearhart,116.0,Lathrop Will,Republican Party,539.0
Attorney General,116 - Gearhart,116.0,Rayfield Dan,Democratic Party,715.0
Attorney General,116 - Gearhart,116.0,Write-in Totals,,1.0
Attorney General,117 - Seaside North,117.0,Lathrop Will,Republican Party,209.0
Attorney General,117 - Seaside North,117.0,Rayfield Dan,Democratic Party,329.0
Attorney General,117 - Seaside North,117.0,Write-in Totals,,1.0
State Treasurer,118 - Seaside West,118.0,King Mary,Working Families Party,61.0
State Treasurer,118 - Seaside West,118.0,Boquist Brian J,Republican Party,218.0
State Treasurer,118 - Seaside West,118.0,Elizabeth Steiner,Democratic Party,298.0
State Treasurer,118 - Seaside West,118.0,Write-in Totals,,0.0
State Treasurer,119 - Seaside East,119.0,King Mary,Working Families Party,67.0
State Treasurer,119 - Seaside East,119.0,Boquist Brian J,Republican Party,379.0
State Treasurer,119 - Seaside East,119.0,Elizabeth Steiner,Democratic Party,428.0
State Treasurer,119 - Seaside East,119.0,Write-in Totals,,3.0
State Treasurer,120 - Seaside South,120.0,King Mary,Working Families Party,96.0
State Treasurer,120 - Seaside South,120.0,Boquist Brian J,Republican Party,452.0
State Treasurer,120 - Seaside South,120.0,Elizabeth Steiner,Democratic Party,641.0
State Treasurer,120 - Seaside South,120.0,Write-in Totals,,1.0
State Treasurer,121 - Necanicum,121.0,King Mary,Working Families Party,21.0
State Treasurer,121 - Necanicum,121.0,Boquist Brian J,Republican Party,167.0
State Treasurer,121 - Necanicum,121.0,Elizabeth Steiner,Democratic Party,128.0
State Treasurer,121 - Necanicum,121.0,Write-in Totals,,0.0
State Treasurer,122 - Arch Cape,122.0,King Mary,Working Families Party,22.0
State Treasurer,122 - Arch Cape,122.0,Boquist Brian J,Republican Party,53.0
State Treasurer,122 - Arch Cape,122.0,Elizabeth Steiner,Democratic Party,146.0
State Treasurer,122 - Arch Cape,122.0,Write-in Totals,,0.0
State Treasurer,123 - Cannon Beach,123.0,King Mary,Working Families Party,67.0
State Treasurer,123 - Cannon Beach,123.0,Boquist Brian J,Republican Party,300.0
State Treasurer,123 - Cannon Beach,123.0,Elizabeth Steiner,Democratic Party,595.0
State Treasurer,123 - Cannon Beach,123.0,Write-in Totals,,0.0
State Treasurer,124 - Hamlet,124.0,King Mary,Working Families Party,19.0
State Treasurer,124 - Hamlet,124.0,Boquist Brian J,Republican Party,131.0
State Treasurer,124 - Hamlet,124.0,Elizabeth Steiner,Democratic Party,116.0
State Treasurer,124 - Hamlet,124.0,Write-in Totals,,0.0
State Treasurer,125 - Elsie,125.0,King Mary,Working Families Party,17.0
State Treasurer,125 - Elsie,125.0,Boquist Brian J,Republican Party,139.0
State Treasurer,125 - Elsie,125.0,Elizabeth Steiner,Democratic Party,93.0
State Treasurer,125 - Elsie,125.0,Write-in Totals,,0.0
State Treasurer,Totals,,King Mary,Working Families Party,1802.0
State Treasurer,Totals,,Boquist Brian J,Republican Party,9770.0
State Treasurer,Totals,,Elizabeth Steiner,Democratic Party,10524.0
State Treasurer,Totals,,Write-in Totals,,14.0
Attorney General,118 - Seaside West,118.0,Lathrop Will,Republican Party,225.0
Attorney General,118 - Seaside West,118.0,Rayfield Dan,Democratic Party,349.0
Attorney General,118 - Seaside West,118.0,Write-in Totals,,0.0
Attorney General,119 - Seaside East,119.0,Lathrop Will,Republican Party,385.0
Attorney General,119 - Seaside East,119.0,Rayfield Dan,Democratic Party,482.0
Attorney General,119 - Seaside East,119.0,Write-in Totals,,3.0
Attorney General,120 - Seaside South,120.0,Lathrop Will,Republican Party,481.0
Attorney General,120 - Seaside South,120.0,Rayfield Dan,Democratic Party,706.0
Attorney General,120 - Seaside South,120.0,Write-in Totals,,2.0
Attorney General,121 - Necanicum,121.0,Lathrop Will,Republican Party,175.0
Attorney General,121 - Necanicum,121.0,Rayfield Dan,Democratic Party,143.0
Attorney General,121 - Necanicum,121.0,Write-in Totals,,0.0
Attorney General,122 - Arch Cape,122.0,Lathrop Will,Republican Party,57.0
Attorney General,122 - Arch Cape,122.0,Rayfield Dan,Democratic Party,165.0
Attorney General,122 - Arch Cape,122.0,Write-in Totals,,0.0
Attorney General,123 - Cannon Beach,123.0,Lathrop Will,Republican Party,317.0
Attorney General,123 - Cannon Beach,123.0,Rayfield Dan,Democratic Party,641.0
Attorney General,123 - Cannon Beach,123.0,Write-in Totals,,0.0
Attorney General,124 - Hamlet,124.0,Lathrop Will,Republican Party,132.0
Attorney General,124 - Hamlet,124.0,Rayfield Dan,Democratic Party,128.0
Attorney General,124 - Hamlet,124.0,Write-in Totals,,0.0
Attorney General,125 - Elsie,125.0,Lathrop Will,Republican Party,138.0
Attorney General,125 - Elsie,125.0,Rayfield Dan,Democratic Party,114.0
Attorney General,125 - Elsie,125.0,Write-in Totals,,0.0
Attorney General,Totals,,Lathrop Will,Republican Party,10156.0
Attorney General,Totals,,Rayfield Dan,Democratic Party,11846.0
Attorney General,Totals,,Write-in Totals,,26.0
"State Representative, 32nd District",101 - Astoria West,101.0,Cyrus Javadi B,Republican Party,793.0
"State Representative, 32nd District",101 - Astoria West,101.0,Davis Andy,Democratic Party,1796.0
"State Representative, 32nd District",101 - Astoria West,101.0,Write-in Totals,,4.0
"State Representative, 32nd District",102 - Astoria East,102.0,Cyrus Javadi B,Republican Party,580.0
"State Representative, 32nd District",102 - Astoria East,102.0,Davis Andy,Democratic Party,1158.0
"State Representative, 32nd District",102 - Astoria East,102.0,Write-in Totals,,2.0
"State Representative, 32nd District",103 - John Day/Walluski,103.0,Cyrus Javadi B,Republican Party,398.0
"State Representative, 32nd District",103 - John Day/Walluski,103.0,Davis Andy,Democratic Party,302.0
"State Representative, 32nd District",103 - John Day/Walluski,103.0,Write-in Totals,,0.0
"State Representative, 32nd District",104 - Astoria South,104.0,Cyrus Javadi B,Republican Party,312.0
"State Representative, 32nd District",104 - Astoria South,104.0,Davis Andy,Democratic Party,603.0
"State Representative, 32nd District",104 - Astoria South,104.0,Write-in Totals,,2.0
"State Representative, 32nd District",105 - Svensen,105.0,Cyrus Javadi B,Republican Party,644.0
"State Representative, 32nd District",105 - Svensen,105.0,Davis Andy,Democratic Party,345.0
"State Representative, 32nd District",105 - Svensen,105.0,Write-in Totals,,0.0
"State Representative, 32nd District",106 - Knappa,106.0,Cyrus Javadi B,Republican Party,669.0
"State Representative, 32nd District",106 - Knappa,106.0,Davis Andy,Democratic Party,406.0
"State Representative, 32nd District",106 - Knappa,106.0,Write-in Totals,,2.0
"State Representative, 32nd District",107 - Westport/Hillcrest,107.0,Cyrus Javadi B,Republican Party,226.0
"State Representative, 32nd District",107 - Westport/Hillcrest,107.0,Davis Andy,Democratic Party,101.0
"State Representative, 32nd District",107 - Westport/Hillcrest,107.0,Write-in Totals,,2.0
"State Representative, 32nd District",108 - Jewell,108.0,Cyrus Javadi B,Republican Party,208.0
"State Representative, 32nd District",108 - Jewell,108.0,Davis Andy,Democratic Party,138.0
"State Representative, 32nd District",108 - Jewell,108.0,Write-in Totals,,1.0
"State Representative, 32nd District",109 - Olney,109.0,Cyrus Javadi B,Republican Party,303.0
"State Representative, 32nd District",109 - Olney,109.0,Davis Andy,Democratic Party,122.0
"State Representative, 32nd District",109 - Olney,109.0,Write-in Totals,,0.0
"State Representative, 32nd District",110 - Stanley Acres,110.0,Cyrus Javadi B,Republican Party,120.0
"State Representative, 32nd District",110 - Stanley Acres,110.0,Davis Andy,Democratic Party,72.0
"State Representative, 32nd District",110 - Stanley Acres,110.0,Write-in Totals,,0.0
"State Representative, 32nd District",111 - Lewis and Clark/Chadwell,111.0,Cyrus Javadi B,Republican Party,866.0
"State Representative, 32nd District",111 - Lewis and Clark/Chadwell,111.0,Davis Andy,Democratic Party,505.0
"State Representative, 32nd District",111 - Lewis and Clark/Chadwell,111.0,Write-in Totals,,1.0
"State Representative, 32nd District",112 - Warrenton East,112.0,Cyrus Javadi B,Republican Party,433.0
"State Representative, 32nd District",112 - Warrenton East,112.0,Davis Andy,Democratic Party,386.0
"State Representative, 32nd District",112 - Warrenton East,112.0,Write-in Totals,,2.0
"State Representative, 32nd District",113 - Warrenton West,113.0,Cyrus Javadi B,Republican Party,1338.0
"State Representative, 32nd District",113 - Warrenton West,113.0,Davis Andy,Democratic Party,875.0
"State Representative, 32nd District",113 - Warrenton West,113.0,Write-in Totals,,3.0
"State Representative, 32nd District",114 - Clatsop Plains North,114.0,Cyrus Javadi B,Republican Party,464.0
"State Representative, 32nd District",114 - Clatsop Plains North,114.0,Davis Andy,Democratic Party,291.0
"State Representative, 32nd District",114 - Clatsop Plains North,114.0,Write-in Totals,,0.0
"State Representative, 32nd District",115 - Clatsop Plains South,115.0,Cyrus Javadi B,Republican Party,699.0
"State Representative, 32nd District",115 - Clatsop Plains South,115.0,Davis Andy,Democratic Party,546.0
"State Representative, 32nd District",115 - Clatsop Plains South,115.0,Write-in Totals,,2.0
"State Representative, 32nd District",116 - Gearhart,116.0,Cyrus Javadi B,Republican Party,604.0
"State Representative, 32nd District",116 - Gearhart,116.0,Davis Andy,Democratic Party,665.0
"State Representative, 32nd District",116 - Gearhart,116.0,Write-in Totals,,1.0
"State Representative, 32nd District",117 - Seaside North,117.0,Cyrus Javadi B,Republican Party,242.0
"State Representative, 32nd District",117 - Seaside North,117.0,Davis Andy,Democratic Party,301.0
"State Representative, 32nd District",117 - Seaside North,117.0,Write-in Totals,,0.0
"Judge of the Supreme Court, Position 1",101 - Astoria West,101.0,Stephen Bushong K,,1568.0
"Judge of the Supreme Court, Position 1",101 - Astoria West,101.0,Write-in Totals,,27.0
"Judge of the Supreme Court, Position 1",102 - Astoria East,102.0,Stephen Bushong K,,1029.0
"Judge of the Supreme Court, Position 1",102 - Astoria East,102.0,Write-in Totals,,11.0
"Judge of the Supreme Court, Position 1",103 - John Day/Walluski,103.0,Stephen Bushong K,,428.0
"Judge of the Supreme Court, Position 1",103 - John Day/Walluski,103.0,Write-in Totals,,15.0
"Judge of the Supreme Court, Position 1",104 - Astoria South,104.0,Stephen Bushong K,,557.0
"Judge of the Supreme Court, Position 1",104 - Astoria South,104.0,Write-in Totals,,11.0
"Judge of the Supreme Court, Position 1",105 - Svensen,105.0,Stephen Bushong K,,585.0
"Judge of the Supreme Court, Position 1",105 - Svensen,105.0,Write-in Totals,,10.0
"Judge of the Supreme Court, Position 1",106 - Knappa,106.0,Stephen Bushong K,,669.0
"Judge of the Supreme Court, Position 1",106 - Knappa,106.0,Write-in Totals,,4.0
"Judge of the Supreme Court, Position 1",107 - Westport/Hillcrest,107.0,Stephen Bushong K,,217.0
"Judge of the Supreme Court, Position 1",107 - Westport/Hillcrest,107.0,Write-in Totals,,1.0
"Judge of the Supreme Court, Position 1",108 - Jewell,108.0,Stephen Bushong K,,170.0
"Judge of the Supreme Court, Position 1",108 - Jewell,108.0,Write-in Totals,,3.0
"Judge of the Supreme Court, Position 1",109 - Olney,109.0,Stephen Bushong K,,230.0
"Judge of the Supreme Court, Position 1",109 - Olney,109.0,Write-in Totals,,2.0
"Judge of the Supreme Court, Position 1",110 - Stanley Acres,110.0,Stephen Bushong K,,118.0
"Judge of the Supreme Court, Position 1",110 - Stanley Acres,110.0,Write-in Totals,,0.0
"Judge of the Supreme Court, Position 1",111 - Lewis and Clark/Chadwell,111.0,Stephen Bushong K,,827.0
"Judge of the Supreme Court, Position 1",111 - Lewis and Clark/Chadwell,111.0,Write-in Totals,,13.0
"Judge of the Supreme Court, Position 1",112 - Warrenton East,112.0,Stephen Bushong K,,544.0
"Judge of the Supreme Court, Position 1",112 - Warrenton East,112.0,Write-in Totals,,7.0
"Judge of the Supreme Court, Position 1",113 - Warrenton West,113.0,Stephen Bushong K,,1468.0
"Judge of the Supreme Court, Position 1",113 - Warrenton West,113.0,Write-in Totals,,19.0
"Judge of the Supreme Court, Position 1",114 - Clatsop Plains North,114.0,Stephen Bushong K,,473.0
"Judge of the Supreme Court, Position 1",114 - Clatsop Plains North,114.0,Write-in Totals,,8.0
"Judge of the Supreme Court, Position 1",115 - Clatsop Plains South,115.0,Stephen Bushong K,,781.0
"Judge of the Supreme Court, Position 1",115 - Clatsop Plains South,115.0,Write-in Totals,,15.0
"Judge of the Supreme Court, Position 1",116 - Gearhart,116.0,Stephen Bushong K,,771.0
"Judge of the Supreme Court, Position 1",116 - Gearhart,116.0,Write-in Totals,,6.0
"Judge of the Supreme Court, Position 1",117 - Seaside North,117.0,Stephen Bushong K,,351.0
"Judge of the Supreme Court, Position 1",117 - Seaside North,117.0,Write-in Totals,,6.0
"Judge of the Supreme Court, Position 7",101 - Astoria West,101.0,Bronson James D,,1573.0
"Judge of the Supreme Court, Position 7",101 - Astoria West,101.0,Write-in Totals,,24.0
"Judge of the Supreme Court, Position 7",102 - Astoria East,102.0,Bronson James D,,1030.0
"Judge of the Supreme Court, Position 7",102 - Astoria East,102.0,Write-in Totals,,7.0
"Judge of the Supreme Court, Position 7",103 - John Day/Walluski,103.0,Bronson James D,,425.0
"Judge of the Supreme Court, Position 7",103 - John Day/Walluski,103.0,Write-in Totals,,13.0
"Judge of the Supreme Court, Position 7",104 - Astoria South,104.0,Bronson James D,,552.0
"Judge of the Supreme Court, Position 7",104 - Astoria South,104.0,Write-in Totals,,10.0
"Judge of the Supreme Court, Position 7",105 - Svensen,105.0,Bronson James D,,583.0
"Judge of the Supreme Court, Position 7",105 - Svensen,105.0,Write-in Totals,,7.0
"Judge of the Supreme Court, Position 7",106 - Knappa,106.0,Bronson James D,,670.0
"Judge of the Supreme Court, Position 7",106 - Knappa,106.0,Write-in Totals,,4.0
"Judge of the Supreme Court, Position 7",107 - Westport/Hillcrest,107.0,Bronson James D,,221.0
"Judge of the Supreme Court, Position 7",107 - Westport/Hillcrest,107.0,Write-in Totals,,1.0
"Judge of the Supreme Court, Position 7",108 - Jewell,108.0,Bronson James D,,170.0
"Judge of the Supreme Court, Position 7",108 - Jewell,108.0,Write-in Totals,,5.0
"Judge of the Supreme Court, Position 7",109 - Olney,109.0,Bronson James D,,230.0
"Judge of the Supreme Court, Position 7",109 - Olney,109.0,Write-in Totals,,1.0
"Judge of the Supreme Court, Position 7",110 - Stanley Acres,110.0,Bronson James D,,114.0
"Judge of the Supreme Court, Position 7",110 - Stanley Acres,110.0,Write-in Totals,,0.0
"Judge of the Supreme Court, Position 7",111 - Lewis and Clark/Chadwell,111.0,Bronson James D,,824.0
"Judge of the Supreme Court, Position 7",111 - Lewis and Clark/Chadwell,111.0,Write-in Totals,,11.0
"Judge of the Supreme Court, Position 7",112 - Warrenton East,112.0,Bronson James D,,544.0
"Judge of the Supreme Court, Position 7",112 - Warrenton East,112.0,Write-in Totals,,8.0
"Judge of the Supreme Court, Position 7",113 - Warrenton West,113.0,Bronson James D,,1463.0
"Judge of the Supreme Court, Position 7",113 - Warrenton West,113.0,Write-in Totals,,21.0
"Judge of the Supreme Court, Position 7",114 - Clatsop Plains North,114.0,Bronson James D,,471.0
"Judge of the Supreme Court, Position 7",114 - Clatsop Plains North,114.0,Write-in Totals,,7.0
"Judge of the Supreme Court, Position 7",115 - Clatsop Plains South,115.0,Bronson James D,,777.0
"Judge of the Supreme Court, Position 7",115 - Clatsop Plains South,115.0,Write-in Totals,,16.0
"Judge of the Supreme Court, Position 7",116 - Gearhart,116.0,Bronson James D,,772.0
"Judge of the Supreme Court, Position 7",116 - Gearhart,116.0,Write-in Totals,,4.0
"Judge of the Supreme Court, Position 7",117 - Seaside North,117.0,Bronson James D,,349.0
"Judge of the Supreme Court, Position 7",117 - Seaside North,117.0,Write-in Totals,,7.0
"State Representative, 32nd District",118 - Seaside West,118.0,Cyrus Javadi B,Republican Party,241.0
"State Representative, 32nd District",118 - Seaside West,118.0,Davis Andy,Democratic Party,332.0
"State Representative, 32nd District",118 - Seaside West,118.0,Write-in Totals,,1.0
"State Representative, 32nd District",119 - Seaside East,119.0,Cyrus Javadi B,Republican Party,426.0
"State Representative, 32nd District",119 - Seaside East,119.0,Davis Andy,Democratic Party,449.0
"State Representative, 32nd District",119 - Seaside East,119.0,Write-in Totals,,3.0
"State Representative, 32nd District",120 - Seaside South,120.0,Cyrus Javadi B,Republican Party,512.0
"State Representative, 32nd District",120 - Seaside South,120.0,Davis Andy,Democratic Party,667.0
"State Representative, 32nd District",120 - Seaside South,120.0,Write-in Totals,,4.0
"State Representative, 32nd District",121 - Necanicum,121.0,Cyrus Javadi B,Republican Party,188.0
"State Representative, 32nd District",121 - Necanicum,121.0,Davis Andy,Democratic Party,124.0
"State Representative, 32nd District",121 - Necanicum,121.0,Write-in Totals,,0.0
"State Representative, 32nd District",122 - Arch Cape,122.0,Cyrus Javadi B,Republican Party,54.0
"State Representative, 32nd District",122 - Arch Cape,122.0,Davis Andy,Democratic Party,164.0
"State Representative, 32nd District",122 - Arch Cape,122.0,Write-in Totals,,0.0
"State Representative, 32nd District",123 - Cannon Beach,123.0,Cyrus Javadi B,Republican Party,350.0
"State Representative, 32nd District",123 - Cannon Beach,123.0,Davis Andy,Democratic Party,611.0
"State Representative, 32nd District",123 - Cannon Beach,123.0,Write-in Totals,,0.0
"State Representative, 32nd District",124 - Hamlet,124.0,Cyrus Javadi B,Republican Party,145.0
"State Representative, 32nd District",124 - Hamlet,124.0,Davis Andy,Democratic Party,120.0
"State Representative, 32nd District",124 - Hamlet,124.0,Write-in Totals,,1.0
"State Representative, 32nd District",125 - Elsie,125.0,Cyrus Javadi B,Republican Party,148.0
"State Representative, 32nd District",125 - Elsie,125.0,Davis Andy,Democratic Party,104.0
"State Representative, 32nd District",125 - Elsie,125.0,Write-in Totals,,0.0
"State Representative, 32nd District",Totals,,Cyrus Javadi B,Republican Party,10963.0
"State Representative, 32nd District",Totals,,Davis Andy,Democratic Party,11183.0
"State Representative, 32nd District",Totals,,Write-in Totals,,31.0
"Judge of the Supreme Court, Position 1",118 - Seaside West,118.0,Stephen Bushong K,,352.0
"Judge of the Supreme Court, Position 1",118 - Seaside West,118.0,Write-in Totals,,7.0
"Judge of the Supreme Court, Position 1",119 - Seaside East,119.0,Stephen Bushong K,,575.0
"Judge of the Supreme Court, Position 1",119 - Seaside East,119.0,Write-in Totals,,6.0
"Judge of the Supreme Court, Position 1",120 - Seaside South,120.0,Stephen Bushong K,,736.0
"Judge of the Supreme Court, Position 1",120 - Seaside South,120.0,Write-in Totals,,11.0
"Judge of the Supreme Court, Position 1",121 - Necanicum,121.0,Stephen Bushong K,,169.0
"Judge of the Supreme Court, Position 1",121 - Necanicum,121.0,Write-in Totals,,5.0
"Judge of the Supreme Court, Position 1",122 - Arch Cape,122.0,Stephen Bushong K,,124.0
"Judge of the Supreme Court, Position 1",122 - Arch Cape,122.0,Write-in Totals,,0.0
"Judge of the Supreme Court, Position 1",123 - Cannon Beach,123.0,Stephen Bushong K,,578.0
"Judge of the Supreme Court, Position 1",123 - Cannon Beach,123.0,Write-in Totals,,5.0
"Judge of the Supreme Court, Position 1",124 - Hamlet,124.0,Stephen Bushong K,,150.0
"Judge of the Supreme Court, Position 1",124 - Hamlet,124.0,Write-in Totals,,0.0
"Judge of the Supreme Court, Position 1",125 - Elsie,125.0,Stephen Bushong K,,142.0
"Judge of the Supreme Court, Position 1",125 - Elsie,125.0,Write-in Totals,,2.0
"Judge of the Supreme Court, Position 1",Totals,,Stephen Bushong K,,13612.0
"Judge of the Supreme Court, Position 1",Totals,,Write-in Totals,,194.0
"Judge of the Supreme Court, Position 7",118 - Seaside West,118.0,Bronson James D,,355.0
"Judge of the Supreme Court, Position 7",118 - Seaside West,118.0,Write-in Totals,,7.0
"Judge of the Supreme Court, Position 7",119 - Seaside East,119.0,Bronson James D,,568.0
"Judge of the Supreme Court, Position 7",119 - Seaside East,119.0,Write-in Totals,,5.0
"Judge of the Supreme Court, Position 7",120 - Seaside South,120.0,Bronson James D,,734.0
"Judge of the Supreme Court, Position 7",120 - Seaside South,120.0,Write-in Totals,,12.0
"Judge of the Supreme Court, Position 7",121 - Necanicum,121.0,Bronson James D,,173.0
"Judge of the Supreme Court, Position 7",121 - Necanicum,121.0,Write-in Totals,,3.0
"Judge of the Supreme Court, Position 7",122 - Arch Cape,122.0,Bronson James D,,126.0
"Judge of the Supreme Court, Position 7",122 - Arch Cape,122.0,Write-in Totals,,0.0
"Judge of the Supreme Court, Position 7",123 - Cannon Beach,123.0,Bronson James D,,582.0
"Judge of the Supreme Court, Position 7",123 - Cannon Beach,123.0,Write-in Totals,,5.0
"Judge of the Supreme Court, Position 7",124 - Hamlet,124.0,Bronson James D,,147.0
"Judge of the Supreme Court, Position 7",124 - Hamlet,124.0,Write-in Totals,,0.0
"Judge of the Supreme Court, Position 7",125 - Elsie,125.0,Bronson James D,,144.0
"Judge of the Supreme Court, Position 7",125 - Elsie,125.0,Write-in Totals,,2.0
"Judge of the Supreme Court, Position 7",Totals,,Bronson James D,,13597.0
"Judge of the Supreme Court, Position 7",Totals,,Write-in Totals,,180.0
Sheriff,101 - Astoria West,101.0,Matthew Phillips D,,1743.0
Sheriff,101 - Astoria West,101.0,Write-in Totals,,27.0
Sheriff,102 - Astoria East,102.0,Matthew Phillips D,,1139.0
Sheriff,102 - Astoria East,102.0,Write-in Totals,,23.0
Sheriff,103 - John Day/Walluski,103.0,Matthew Phillips D,,513.0
Sheriff,103 - John Day/Walluski,103.0,Write-in Totals,,17.0
Sheriff,104 - Astoria South,104.0,Matthew Phillips D,,622.0
Sheriff,104 - Astoria South,104.0,Write-in Totals,,10.0
Sheriff,105 - Svensen,105.0,Matthew Phillips D,,716.0
Sheriff,105 - Svensen,105.0,Write-in Totals,,12.0
Sheriff,106 - Knappa,106.0,Matthew Phillips D,,816.0
Sheriff,106 - Knappa,106.0,Write-in Totals,,16.0
Sheriff,107 - Westport/Hillcrest,107.0,Matthew Phillips D,,238.0
Sheriff,107 - Westport/Hillcrest,107.0,Write-in Totals,,3.0
Sheriff,108 - Jewell,108.0,Matthew Phillips D,,203.0
Sheriff,108 - Jewell,108.0,Write-in Totals,,5.0
Sheriff,109 - Olney,109.0,Matthew Phillips D,,339.0
Sheriff,109 - Olney,109.0,Write-in Totals,,3.0
Sheriff,110 - Stanley Acres,110.0,Matthew Phillips D,,151.0
Sheriff,110 - Stanley Acres,110.0,Write-in Totals,,1.0
Sheriff,111 - Lewis and Clark/Chadwell,111.0,Matthew Phillips D,,1087.0
Sheriff,111 - Lewis and Clark/Chadwell,111.0,Write-in Totals,,9.0
Sheriff,112 - Warrenton East,112.0,Matthew Phillips D,,625.0
Sheriff,112 - Warrenton East,112.0,Write-in Totals,,6.0
Sheriff,113 - Warrenton West,113.0,Matthew Phillips D,,1704.0
Sheriff,113 - Warrenton West,113.0,Write-in Totals,,19.0
Sheriff,114 - Clatsop Plains North,114.0,Matthew Phillips D,,556.0
Sheriff,114 - Clatsop Plains North,114.0,Write-in Totals,,8.0
Sheriff,115 - Clatsop Plains South,115.0,Matthew Phillips D,,893.0
Sheriff,115 - Clatsop Plains South,115.0,Write-in Totals,,12.0
Sheriff,116 - Gearhart,116.0,Matthew Phillips D,,860.0
Sheriff,116 - Gearhart,116.0,Write-in Totals,,4.0
Sheriff,117 - Seaside North,117.0,Matthew Phillips D,,383.0
Sheriff,117 - Seaside North,117.0,Write-in Totals,,4.0
"City of Seaside, Councilor, At Large, Wards 1 and 2",101 - Astoria West,101.0,Randy Frank,,
"City of Seaside, Councilor, At Large, Wards 1 and 2",101 - Astoria West,101.0,Heidi Hoffman,,
"City of Seaside, Councilor, At Large, Wards 1 and 2",101 - Astoria West,101.0,Write-in Totals,,
"City of Seaside, Councilor, At Large, Wards 1 and 2",102 - Astoria East,102.0,Randy Frank,,
"City of Seaside, Councilor, At Large, Wards 1 and 2",102 - Astoria East,102.0,Heidi Hoffman,,
"City of Seaside, Councilor, At Large, Wards 1 and 2",102 - Astoria East,102.0,Write-in Totals,,
"City of Seaside, Councilor, At Large, Wards 1 and 2",103 - John Day/Walluski,103.0,Randy Frank,,
"City of Seaside, Councilor, At Large, Wards 1 and 2",103 - John Day/Walluski,103.0,Heidi Hoffman,,
"City of Seaside, Councilor, At Large, Wards 1 and 2",103 - John Day/Walluski,103.0,Write-in Totals,,
"City of Seaside, Councilor, At Large, Wards 1 and 2",104 - Astoria South,104.0,Randy Frank,,
"City of Seaside, Councilor, At Large, Wards 1 and 2",104 - Astoria South,104.0,Heidi Hoffman,,
"City of Seaside, Councilor, At Large, Wards 1 and 2",104 - Astoria South,104.0,Write-in Totals,,
"City of Seaside, Councilor, At Large, Wards 1 and 2",105 - Svensen,105.0,Randy Frank,,
"City of Seaside, Councilor, At Large, Wards 1 and 2",105 - Svensen,105.0,Heidi Hoffman,,
"City of Seaside, Councilor, At Large, Wards 1 and 2",105 - Svensen,105.0,Write-in Totals,,
"City of Seaside, Councilor, At Large, Wards 1 and 2",106 - Knappa,106.0,Randy Frank,,
"City of Seaside, Councilor, At Large, Wards 1 and 2",106 - Knappa,106.0,Heidi Hoffman,,
"City of Seaside, Councilor, At Large, Wards 1 and 2",106 - Knappa,106.0,Write-in Totals,,
